,Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
101,101,B084TQ22GN,Women Multi Colored Paisley Print Backpack,Lino Perros,0,0,0,979,4.6,58,74,,1,58,https://m.media-amazon.com/images/I/91L86ym9AUL._AC_UL320_.jpg,Backpack,Women Multi Colored Paisley Print Backpack,SKU: B084TQ22GN
102,102,B08R7RPVJF,Slim Everyday Backpack,Lenovo,0,0,0,699,4.4,900,53,"Wednesday, February 16",1,900,https://m.media-amazon.com/images/I/61v0-iGlR1L._AC_UL320_.jpg,Backpack,Slim Everyday Backpack,SKU: B08R7RPVJF
103,103,B07SRFGK6H,"Arthur 30 L Laptop Backpack (Grey), Free Size (PLBPARTHGRY)",Skybags,0,0,0,888,4.0,230,56,,1,230,https://m.media-amazon.com/images/I/913LOsxluaL._UX522_.jpg,Backpack,"Arthur 30 L Laptop Backpack (Grey), Free Size (PLBPARTHGRY)",SKU: B07SRFGK6H
104,104,B07G4F6XFH,Classic Anti Theft Faux Leather 18 inch 48 cms Brown Laptop Backpack (LBPCLSLTH0201),Gear,0,0,0,799,4.4,"3,208",60,,1,"3,208",https://m.media-amazon.com/images/I/91x7qLAsTPL._AC_UL320_.jpg,Backpack,Classic Anti Theft Faux Leather 18 inch 48 cms Brown Laptop Backpack (LBPCLSLTH0201),SKU: B07G4F6XFH
105,105,B09B42G8C8,Business Casual 30L Dual Compartment Water Resistant Laptop Backpack,URBAN WOLF,0,0,0,749,4.1,592,50,,1,592,https://m.media-amazon.com/images/I/71i5WMamV-L._AC_UL320_.jpg,Backpack,Business Casual 30L Dual Compartment Water Resistant Laptop Backpack,SKU: B09B42G8C8
106,106,B09H7PK5ML,Anti-Theft and USB charging port backpack with combination lock Laptop bag,TRUE HUMAN,0,0,0,675,4.0,168,68,,1,168,https://m.media-amazon.com/images/I/51uFP3SpVOL._AC_UL320_.jpg,Backpack,Anti-Theft and USB charging port backpack with combination lock Laptop bag,SKU: B09H7PK5ML
107,107,B07XMRGQCM,Blackhawk 40 Ltrs Black Laptop Backpack (3178),F Gear,0,0,0,"1,251",4.3,531,58,,1,531,https://m.media-amazon.com/images/I/81fNYb0JPuL._AC_UL320_.jpg,Backpack,Blackhawk 40 Ltrs Black Laptop Backpack (3178),SKU: B07XMRGQCM
108,108,B084TPHLQM,Women Backpack,Lino Perros,0,0,0,"1,546",4.1,26,48,,1,26,https://m.media-amazon.com/images/I/61pljfqcmJS._UX679_.jpg,Backpack,Women Backpack,SKU: B084TPHLQM
109,109,B07JKRYQCH,Jupiter Flower Small Outdoor Mini Backpack- 12L Daypack ( Multicolour),KILLER,0,0,0,440,4.1,411,56,,0,411,https://m.media-amazon.com/images/I/81Bo7VFrn+S._UY550_.jpg,Backpack,Jupiter Flower Small Outdoor Mini Backpack- 12L Daypack ( Multicolour),SKU: B07JKRYQCH
110,110,B07N6DWQQH,SWAGPACK 2019 AMT Vogue NXT BP 02 Backpack,American Tourister,0,0,0,"1,250",4.2,300,36,,1,300,https://m.media-amazon.com/images/I/7119yfuNdyL._UX522_.jpg,Backpack,SWAGPACK 2019 AMT Vogue NXT BP 02 Backpack,SKU: B07N6DWQQH
111,111,B09QL66G55,"Laptop Backpack for Men, Extra Large 31L Travel Backpack with Multi Zip Compartment, Fits 17 Inch Laptop I Ultra Strong Stitching I Quick Access Pocket",WildHorn,0,0,0,799,0.0,0,81,,1,"₹799
₹4,199 Save ₹3,400 (81%)",https://m.media-amazon.com/images/I/91nLbD1nSeL._AC_UL320_.jpg,Backpack,"Laptop Backpack for Men, Extra Large 31L Travel Backpack with Multi Zip Compartment, Fits 17 Inch Laptop I Ultra Strong Stitching I Quick Access Pocket",SKU: B09QL66G55
112,112,B09QGYNXP8,32 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover,CAPRIFF,0,0,0,489,3.7,666,62,,0,666,https://m.media-amazon.com/images/I/81zuiTSaHHL._AC_UL320_.jpg,Backpack,32 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover,SKU: B09QGYNXP8
113,113,B078FZJD5F,Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,FUR JADEN,0,0,0,799,4.0,"9,577",77,,1,"9,577",https://m.media-amazon.com/images/I/91v9NqOYqML._AC_UL320_.jpg,Backpack,Anti Theft Backpack 15.6 Inch Laptop Bag with USB Charging Port and Water Resistant Fabric,SKU: B078FZJD5F
114,114,B08FM6X8KZ,HP X Entry Backpack for Upto 15.6 Inch (39.6 cm) Laptop/Chromebook/Mac (Black) 1D0M5PA,HP,0,0,0,919,4.0,932,54,"Saturday, February 19",1,932,https://m.media-amazon.com/images/I/7127qU2+2QL._AC_UL320_.jpg,Backpack,HP X Entry Backpack for Upto 15.6 Inch (39.6 cm) Laptop/Chromebook/Mac (Black) 1D0M5PA,SKU: B08FM6X8KZ
115,115,B09RHDX3CD,Swiss Cut Design Medium 30 L Laptop Backpack Outdoor Travel Laptop Backpack fits 15.6 inch Multifunctional,Red Lemon,0,0,0,"2,199",0.0,0,45,,1,"₹2,199
₹3,999 Save ₹1,800 (45%)",https://m.media-amazon.com/images/I/71vWm-Xa4jL._UX679_.jpg,Backpack,Swiss Cut Design Medium 30 L Laptop Backpack Outdoor Travel Laptop Backpack fits 15.6 inch Multifunctional,SKU: B09RHDX3CD
