,Unnamed: 0,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url
160,160,B0995S2XZR,Women Sweatshirt,Amazon Brand - Symbol,0,0,0,630,3.6,13,71,,1,13,https://m.media-amazon.com/images/I/81EBTdiFCbL._AC_UL320_.jpg
161,161,B082D9GQBD,Woolen Sleeveless Regular Fit Sweater for Men,AKAAS,0,0,0,675,4.0,15,66,,1,15,https://m.media-amazon.com/images/I/617jeIN8hzL._AC_UL320_.jpg
162,162,B09BQNC7FX,Kids Boys Woolen Acrylic Sweater Rocket Pattern Regular fit Full Sleeves Super Soft Winter Clothing Occasion wear Fun Bold Pattern,KNITCO,0,0,0,499,4.3,16,62,,1,16,
163,163,B09PZGP2BH,Boys Full Sleeves Sweater for Winter,Smarty,0,0,0,695,4.4,7,0,,1,7,
164,164,B09G3KLQB4,Women's Casual Acrylic Sweater,Mirako by Van Heusen,0,0,0,700,0.0,0,53,,1,"₹700
₹1,499 Save ₹799 (53%)",https://m.media-amazon.com/images/I/81sBoAVYVZL._AC_UL320_.jpg
165,165,B09M84DFF6,Regular Fit Sweater for Men 100% Wool Half Sleeve Sweater Daily USE Sweater,DSM,0,0,0,361,3.5,39,64,,0,39,
166,166,B09B6PY7P4,Women's Casual Acrylic Sweater,ONLY,0,0,0,"1,199",0.0,0,40,,1,"₹1,199
₹1,999 Save ₹800 (40%)",
167,167,B098J7HGZL,Women's Casual Acrylic Cardigan Sweater,Amazon Brand - Symbol,0,0,0,657,3.9,45,74,,1,45,https://m.media-amazon.com/images/I/71PfFqf--IL._AC_UL320_.jpg
168,168,B09PBDPYWD,Men Multi Wool Blend Printed Sweater 1217416SL-1,Monte Carlo,0,0,0,"1,865",0.0,0,35,,1,"₹1,865
₹2,870 Save ₹1,005 (35%)",https://m.media-amazon.com/images/I/61CWOtS5UkL._AC_UL320_.jpg
169,169,B07TWFLNLV,Men's Nylon Sweater,Raymond,0,0,0,"3,479",0.0,0,50,,1,"₹3,479
₹6,999 Save ₹3,520 (50%)",https://m.media-amazon.com/images/I/91mB4F7iSZL._AC_UL320_.jpg
