Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
84,B09BVWR567,Men's Regular Jeans,Levi's,0,0,0,"1,959",3.1,28,30,,1,28,https://m.media-amazon.com/images/I/61oIxYxPmcL._UX522_.jpg,Jean,Men's Regular Jeans,SKU: B09BVWR567
85,B07W48JQBM,Women's Straight Fit Jeans,AKA CHIC,0,0,0,881,4,204,66,,1,204,https://m.media-amazon.com/images/I/81dgrqvXEmL._AC_UL320_.jpg,Jean,Women's Straight Fit Jeans,SKU: B07W48JQBM
86,B07VFK3N3V,Men's Slim Fit Jeans,Urbano Fashion,0,0,0,579,3.7,321,61,,1,321,https://m.media-amazon.com/images/I/719J1S+gi-L._AC_UL320_.jpg,Jean,Men's Slim Fit Jeans,SKU: B07VFK3N3V
87,B07TGQ191J,Men's Slim Apparel,Neostreak,0,0,0,569,3.7,127,70,,1,127,https://m.media-amazon.com/images/I/81mkws56NZL._AC_UL320_.jpg,Jean,Men's Slim Apparel,SKU: B07TGQ191J
88,B094TYQDLZ,Men's Slim Jeans,Arrow Sports,0,0,0,"1,269",4.2,42,45,,1,42,https://m.media-amazon.com/images/I/81P8U0CYnmL._AC_UL320_.jpg,Jean,Men's Slim Jeans,SKU: B094TYQDLZ
89,B07H4T3BLR,Men's wear,hangup,0,0,0,760,0,0,70,,1,"₹760
₹2,499 Save ₹1,739 (70%)",,Jean,Men's wear,SKU: B07H4T3BLR
90,B07L962M8L,Women's Black Skinny Fit High Rise Clean Look Regular Length Clean Look Stretchable Denim Jeans,Miss Chase,0,0,0,836,3.8,913,57,,1,913,https://m.media-amazon.com/images/I/71a03OHZiVL._AC_UL320_.jpg,Jean,Women's Black Skinny Fit High Rise Clean Look Regular Length Clean Look Stretchable Denim Jeans,SKU: B07L962M8L
91,B08135J1HV,Women's Denim Stretchable Slim Fit Black Jeans,NIFTY,0,0,0,499,4,558,62,,1,558,https://m.media-amazon.com/images/I/31JwPVIVlKL._AC_UL320_.jpg,Jean,Women's Denim Stretchable Slim Fit Black Jeans,SKU: B08135J1HV
92,B09172T21J,Womens High Rise Cotton Lycra Jeans,KOTTY,0,0,0,749,0,0,63,,1,"₹749
₹1,999 Save ₹1,250 (63%)",https://m.media-amazon.com/images/I/61mQibjz7FL._UY550_.jpg,Jean,Womens High Rise Cotton Lycra Jeans,SKU: B09172T21J
93,B08HQHJ1YP,Women's Boot Cut Regular Jeans,VERO MODA,0,0,0,999,4,29,60,,1,29,https://m.media-amazon.com/images/I/71N-3O6LVZL._UY550_.jpg,Jean,Women's Boot Cut Regular Jeans,SKU: B08HQHJ1YP
94,B07HMB6GDQ,Women's Regular Jeans,AKA CHIC,0,0,0,852,4.1,305,67,,1,305,https://m.media-amazon.com/images/I/81UIotxdLPL._AC_UL320_.jpg,Jean,Women's Regular Jeans,SKU: B07HMB6GDQ
95,B09BVVJF12,Men's Regular Jeans,Levi's,0,0,0,"1,874",4.2,112,25,,1,112,https://m.media-amazon.com/images/I/718vYyIjaNL._UY550_.jpg,Jean,Men's Regular Jeans,SKU: B09BVVJF12
96,B07HMB6GDQ,Women's Regular Jeans,AKA CHIC,0,0,0,852,4.1,305,67,,1,305,https://m.media-amazon.com/images/I/81UIotxdLPL._AC_UL320_.jpg,Jean,Women's Regular Jeans,SKU: B07HMB6GDQ
97,B09BVVJF12,Men's Regular Jeans,Levi's,0,0,0,"1,874",4.2,112,25,,1,112,https://m.media-amazon.com/images/I/71ItZz1lOMS._UY550_.jpg,Jean,Men's Regular Jeans,SKU: B09BVVJF12
98,B09173S46X,Womens High Rise Cotton Lycra Jeans,KOTTY,0,0,0,674,3.6,29,66,,1,29,https://m.media-amazon.com/images/I/61mQibjz7FL._UY550_.jpg,Jean,Womens High Rise Cotton Lycra Jeans,SKU: B09173S46X
99,B098L97BWD,Men's Regular Fit Jeans,Ben Martin,0,0,0,589,3.5,102,80,,1,102,https://m.media-amazon.com/images/I/61QEJwzNtXS._AC_UL320_.jpg,Jean,Men's Regular Fit Jeans,SKU: B098L97BWD
