Rank,asin,title,brand,Sponsored,Best Seller,Amazon's Choice,Price,Rating,NoofRatings,Discount,Delivery,Prime Delivery,base,image url,cat,Description,A-Description
168,B08KPGSZF8,"Voltas Beko 8 kg Semi-Automatic Top Loading Washing Machine (WTT80DGRT, Gray) 2020",Voltas,0,0,0,0,3.6,13,0,,0,13,https://m.media-amazon.com/images/I/41APPhZqJyL._SY450_.jpg,Washing machine,"Voltas Beko 8 kg Semi-Automatic Top Loading Washing Machine (WTT80DGRT, Gray) 2020",SKU: B08KPGSZF8
169,B09GNH7VHQ,"LG 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P7010NBAZ, Dark Blue)",LG,0,0,0,0,4.8,13,0,,0,13,https://m.media-amazon.com/images/I/51k2BlrTG5L._AC_UL320_.jpg,Washing machine,"LG 7 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P7010NBAZ, Dark Blue)",SKU: B09GNH7VHQ
170,B08KPG8HX5,"Voltas Beko 8 kg Semi-Automatic Top Loading Washing Machine (WTT80DBRT, Burgundy) 2020",Voltas,0,0,0,0,3.4,4,0,,0,4,https://m.media-amazon.com/images/I/61UQoBiuQ8L._SX466_.jpg,Washing machine,"Voltas Beko 8 kg Semi-Automatic Top Loading Washing Machine (WTT80DBRT, Burgundy) 2020",SKU: B08KPG8HX5
171,B09KGY7S81,"Samsung 7 Kg Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW70T4020EE1TL, White, Hygiene Steam)",Samsung,0,0,0,"30,990",4.6,3,11,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,3,https://m.media-amazon.com/images/I/7144KdCjAyL._AC_UL320_.jpg,Washing machine,"Samsung 7 Kg Inverter 5 Star Fully-Automatic Front Loading Washing Machine (WW70T4020EE1TL, White, Hygiene Steam)",SKU: B09KGY7S81
172,B08TT4MVST,,,0,0,0,0,0,0,0,,0,,https://m.media-amazon.com/images/I/614PhEjd-XL._AC_UL320_.jpg,Washing machine,nan,SKU: B08TT4MVST
173,B081HWW9X1,"LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SNSF1Z, Middle Free Silver, TurboDrum)",LG,0,0,0,0,4.4,"1,311",0,,0,"1,311",https://m.media-amazon.com/images/I/81CKlLPbDIL._AC_UL320_.jpg,Washing machine,"LG 6.5 Kg 5 Star Smart Inverter Fully-Automatic Top Loading Washing Machine (T65SNSF1Z, Middle Free Silver, TurboDrum)",SKU: B081HWW9X1
174,B08779BJY1,"Samsung 7.0 Kg Inverter 5 star Fully-Automatic Top Loading Washing Machine (WA70T4262BS/TL, Imperial Silver, Wobble technology)",Samsung,0,0,0,"20,200",4.3,168,23,"Thu, 17 Feb, 7:00 am - 9:00 pm",0,168,https://m.media-amazon.com/images/I/71TEA7mzwWL._AC_UL320_.jpg,Washing machine,"Samsung 7.0 Kg Inverter 5 star Fully-Automatic Top Loading Washing Machine (WA70T4262BS/TL, Imperial Silver, Wobble technology)",SKU: B08779BJY1
175,B071HT7TZ9,"Whirlpool 8 kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE SUPER SOAK 8.0, Coral Red, Supersoak Technology)",Whirlpool,0,0,0,0,4.4,870,0,,0,870,https://m.media-amazon.com/images/I/81FyYXoQF-L._AC_UL320_.jpg,Washing machine,"Whirlpool 8 kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE SUPER SOAK 8.0, Coral Red, Supersoak Technology)",SKU: B071HT7TZ9
176,B09RH51CQN,"Eugle Mart Mini Portable Washing Machine Spin Dryer,Foldable Washing Machine,Small Handy Semi-Automatic Compact Washer for Traveling Mini Washing Machine for Camping,Creation Top Load Latest Machin",Eugle,0,0,0,"9,999",0,0,33,"Saturday, February 19",1,"₹9,999
₹14,999 Save ₹5,000 (33%)",,Washing machine,"Eugle Mart Mini Portable Washing Machine Spin Dryer,Foldable Washing Machine,Small Handy Semi-Automatic Compact Washer for Traveling Mini Washing Machine for Camping,Creation Top Load Latest Machin",SKU: B09RH51CQN
177,B09LM39YR9,"LG 7 Kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHM1207SDL, Silver, 6 Motion Direct Drive)",LG,0,0,0,"30,200",4.3,562,28,"Tue, 15 Feb, 7:00 am - 9:00 pm",0,562,https://m.media-amazon.com/images/I/81L+k3MW3DL._AC_UL320_.jpg,Washing machine,"LG 7 Kg 5 Star Inverter Fully-Automatic Front Loading Washing Machine (FHM1207SDL, Silver, 6 Motion Direct Drive)",SKU: B09LM39YR9
178,B09MNKQH82,PARDZWORLD Bearing Seal or Oil Seal Suitable for LG 5.5 Kg Front Loading Washing Machines(Match & Buy).,PARDZWORLD,0,0,0,249,0,0,31,"Monday, February 21",0,"₹249
₹360 Save ₹111 (31%)",https://m.media-amazon.com/images/I/51g0DD8IEiL._AC_UL320_.jpg,Washing machine,PARDZWORLD Bearing Seal or Oil Seal Suitable for LG 5.5 Kg Front Loading Washing Machines(Match & Buy).,SKU: B09MNKQH82
